nixpkgs._0verkill                                                      0verkill-unstable-2011-01-13
nixpkgs._0x0                                                           0x0-2018-06-24
nixpkgs._1oom                                                          1oom-1.0
nixpkgs._1password-gui                                                 1password-0.9.14-4
nixpkgs._1password                                                     1password-1.8.0
nixpkgs._2048-in-terminal                                              2048-in-terminal-2017-11-29
nixpkgs._20kly                                                         20kly-1.4
nixpkgs._2bwm                                                          2bwm-0.3
nixpkgs.go-2fa                                                         2fa-1.2.0
nixpkgs._3270font                                                      3270font-2.2.1
nixpkgs._389-ds-base                                                   389-ds-base-1.3.9.1
nixpkgs.pong3d                                                         3dpong-0.5
nixpkgs._3llo                                                          3llo-0.3.0
nixpkgs._3mux                                                          3mux-1.0.1
nixpkgs._3proxy                                                        3proxy-0.9.3
nixpkgs._4th                                                           4th-3.62.5
nixpkgs._6tunnel                                                       6tunnel-0.13
nixpkgs.tiny8086                                                       8086tiny-1.25
nixpkgs._90secondportraits                                             90secondportraits-1.01b
nixpkgs._915resolution                                                 915resolution-0.5.3
nixpkgs._9menu                                                         9menu-unstable-2021-02-24
nixpkgs._9pfs                                                          9pfs-20150918
nixpkgs.a2jmidid                                                       a2jmidid-9
nixpkgs.a2ps                                                           a2ps-4.14
nixpkgs.a52dec                                                         a52dec-0.7.4
nixpkgs.aacgain                                                        aacgain-1.9.0
nixpkgs.aalib                                                          aalib-1.4rc5
nixpkgs.abbaye-des-morts                                               abbaye-des-morts-2.0.1
nixpkgs.abc-verifier                                                   abc-verifier-2020.11.24
nixpkgs.abcde                                                          abcde-2.9.3
nixpkgs.abcl                                                           abcl-1.8.0
nixpkgs.abcm2ps                                                        abcm2ps-8.14.11
nixpkgs.abcmidi                                                        abcMIDI-2021.02.21
nixpkgs.abduco                                                         abduco-2018-05-16
nixpkgs.abella                                                         abella-2.0.6
nixpkgs.abi-compliance-checker                                         abi-compliance-checker-2.3
nixpkgs.abi-dumper                                                     abi-dumper-1.2
nixpkgs.abiword                                                        abiword-3.0.4
nixpkgs.abook                                                          abook-0.6.1
nixpkgs.abootimg                                                       abootimg-0.6
nixpkgs.abseil-cpp                                                     abseil-cpp-20200923.3
nixpkgs.abuse                                                          abuse-0.8
nixpkgs.gnome3.accerciser                                              accerciser-3.38.0
nixpkgs.libsForQt5.accounts-qt                                         accounts-qt-1.16
nixpkgs.libsForQt515.accounts-qt                                       accounts-qt-1.16
nixpkgs.accounts-qt                                                    accounts-qt-1.16
nixpkgs.libsForQt514.accounts-qt                                       accounts-qt-1.16
nixpkgs.accountsservice                                                accountsservice-0.6.55
nixpkgs.acct                                                           acct-6.6.4
nixpkgs.accuraterip-checksum                                           accuraterip-checksum-1.5
nixpkgs.acd-cli                                                        acd_cli-0.3.2
nixpkgs.ace                                                            ace-6.5.11
nixpkgs.acgtk                                                          acgtk-1.5.2
nixpkgs.acl                                                            acl-2.2.53
nixpkgs.acl2                                                           acl2-8.3
nixpkgs.acl2-minimal                                                   acl2-8.3
nixpkgs.acme-client                                                    acme-client-1.1.0
nixpkgs.acme                                                           acme-unstable-2020-12-27
nixpkgs.acme-sh                                                        acme.sh-2.8.8
nixpkgs.acoustidFingerprinter                                          acoustid-fingerprinter-0.6
nixpkgs.acpi                                                           acpi-1.7
nixpkgs.acpica-tools                                                   acpica-tools-20200430
nixpkgs.pmtools                                                        acpica-tools-20200430
nixpkgs.acpid                                                          acpid-2.0.32
nixpkgs.acpidump-all                                                   acpidump-all-4.13
nixpkgs.acpilight                                                      acpilight-1.2
nixpkgs.acpitool                                                       acpitool-0.5.1
nixpkgs.acsccid                                                        acsccid-1.1.8
nixpkgs.act                                                            act-0.2.20
nixpkgs.actdiag                                                        actdiag-2.0.0
nixpkgs.actkbd                                                         actkbd-0.2.8
nixpkgs.caf                                                            actor-framework-0.17.6
nixpkgs.adafruit-ampy                                                  adafruit-ampy-1.0.7
nixpkgs.adapta-backgrounds                                             adapta-backgrounds-0.5.3.1
nixpkgs.adapta-gtk-theme                                               adapta-gtk-theme-3.95.0.11
nixpkgs.adapta-kde-theme                                               adapta-kde-theme-20180828
nixpkgs.adb-sync                                                       adb-sync-unstable-2019-01-01
nixpkgs.adbfs-rootless                                                 adbfs-rootless-2016-10-02
nixpkgs.python38Packages.adblock                                       adblock-0.4.0
nixpkgs.python37Packages.adblock                                       adblock-0.4.0
nixpkgs.python39Packages.adblock                                       adblock-0.4.0
nixpkgs.addOpenGLRunpath                                               add-opengl-runpath
nixpkgs.python39Packages.addic7ed-cli                                  addic7ed-cli-1.4.6
nixpkgs.python37Packages.addic7ed-cli                                  addic7ed-cli-1.4.6
nixpkgs.python38Packages.addic7ed-cli                                  addic7ed-cli-1.4.6
nixpkgs.adementary-theme                                               adementary-theme-201905r1
nixpkgs.adguardhome                                                    adguardhome
nixpkgs.adlplug                                                        ADLplug-1.0.2
nixpkgs.adminer                                                        adminer-4.8.0
nixpkgs.adms                                                           adms-2.3.7
nixpkgs.adns                                                           adns-1.6.0
nixpkgs.adom                                                           adom-1.2.0_pre23-noteye
nixpkgs.adoptopenjdk-bin                                               adoptopenjdk-hotspot-bin-11.0.9
nixpkgs.adoptopenjdk-hotspot-bin-13                                    adoptopenjdk-hotspot-bin-13.0.2
nixpkgs.adoptopenjdk-hotspot-bin-14                                    adoptopenjdk-hotspot-bin-14.0.2
nixpkgs.adoptopenjdk-hotspot-bin-15                                    adoptopenjdk-hotspot-bin-15.0.1
nixpkgs.adoptopenjdk-hotspot-bin-8                                     adoptopenjdk-hotspot-bin-8.0.272
nixpkgs.icedtea_web                                                    adoptopenjdk-icedtea-web-1.8.5
nixpkgs.icedtea8_web                                                   adoptopenjdk-icedtea-web-1.8.5
nixpkgs.adoptopenjdk-icedtea-web                                       adoptopenjdk-icedtea-web-1.8.5
nixpkgs.adoptopenjdk-jre-bin                                           adoptopenjdk-jre-hotspot-bin-11.0.9
nixpkgs.adoptopenjdk-jre-hotspot-bin-13                                adoptopenjdk-jre-hotspot-bin-13.0.2
nixpkgs.adoptopenjdk-jre-hotspot-bin-14                                adoptopenjdk-jre-hotspot-bin-14.0.2
nixpkgs.adoptopenjdk-jre-hotspot-bin-15                                adoptopenjdk-jre-hotspot-bin-15.0.1
nixpkgs.adoptopenjdk-jre-hotspot-bin-8                                 adoptopenjdk-jre-hotspot-bin-8.0.272
nixpkgs.adoptopenjdk-jre-openj9-bin-11                                 adoptopenjdk-jre-openj9-bin-11.0.9
nixpkgs.adoptopenjdk-jre-openj9-bin-13                                 adoptopenjdk-jre-openj9-bin-13.0.2
nixpkgs.adoptopenjdk-jre-openj9-bin-14                                 adoptopenjdk-jre-openj9-bin-14.0.2
nixpkgs.adoptopenjdk-jre-openj9-bin-15                                 adoptopenjdk-jre-openj9-bin-15.0.1
nixpkgs.adoptopenjdk-jre-openj9-bin-8                                  adoptopenjdk-jre-openj9-bin-8.0.272
nixpkgs.adoptopenjdk-openj9-bin-11                                     adoptopenjdk-openj9-bin-11.0.9
nixpkgs.adoptopenjdk-openj9-bin-13                                     adoptopenjdk-openj9-bin-13.0.2
nixpkgs.adoptopenjdk-openj9-bin-14                                     adoptopenjdk-openj9-bin-14.0.2
nixpkgs.adoptopenjdk-openj9-bin-15                                     adoptopenjdk-openj9-bin-15.0.1
nixpkgs.adoptopenjdk-openj9-bin-8                                      adoptopenjdk-openj9-bin-8.0.272
nixpkgs.adslib                                                         adslib-unstable-2020-08-28
nixpkgs.adtool                                                         adtool-1.3.3
nixpkgs.advancecomp                                                    advancecomp-2.1
nixpkgs.gnome3.adwaita-icon-theme                                      adwaita-icon-theme-3.38.0
nixpkgs.adwaita-qt                                                     adwaita-qt-1.1.4
nixpkgs.aefs                                                           aefs-0.4pre259-8843b7c
nixpkgs.aegan                                                          aegan-10.00
nixpkgs.aegisub                                                        aegisub-3.2.2
nixpkgs.aegyptus                                                       aegyptus-8.00
nixpkgs.aeolus                                                         aeolus-0.9.9
nixpkgs.aeon                                                           aeon-0.13.0.0
nixpkgs.aerc                                                           aerc-0.5.2
nixpkgs.aerospike                                                      aerospike-server-4.2.0.4
nixpkgs.aescrypt                                                       aescrypt-3.14
nixpkgs.aesop                                                          aesop-1.2.5
nixpkgs.aespipe                                                        aespipe-2.4f
nixpkgs.aewan                                                          aewan-1.0.01
nixpkgs.afew                                                           afew-3.0.1
nixpkgs.afflib                                                         afflib-3.7.19
nixpkgs.afio                                                           afio-2.5.2
nixpkgs.afl                                                            afl-2.57b
nixpkgs.aflplusplus                                                    aflplusplus-2.65c
nixpkgs.afpfs-ng                                                       afpfs-ng-0.8.2
